Date;Branch Name;# of drop;# of partial;Yesterday paid off #;Today disbursed #;# of irregular borrower;Virtual new borrower;Returning
2021/12/25;Jackson Heights;0;50;21;22;121;6;3
2021/12/25;Gates Avenue;4;4;24;28;16;3;0
2021/12/25;Manhattan;0;4;26;22;30;2;2
2021/12/25;Bronx;0;5;20;23;52;2;0
2021/12/25;Jamaica-LIC;0;0;32;31;6;5;1
2021/12/25;Sunset Park;0;0;20;19;2;2;0
2021/12/25;New York Area;4;63;143;145;227;20;6
2021/12/25;Union City;2;3;20;23;26;3;0
2021/12/25;Newark-;4;0;6;6;22;0;0
2021/12/25;Chelsea-Boston;0;0;12;10;0;0;1
2021/12/25;Chicago;0;0;3;5;0;3;0
2021/12/25;Trenton/Camden;0;0;0;2;1;2;0
2021/12/25;Connecticut;0;0;0;0;0;0;0
2021/12/25;NE Area;6;3;41;46;49;8;1
2021/12/25;Omaha;3;0;20;11;11;3;0
2021/12/25;Indianapolis;2;0;11;14;9;0;3
2021/12/25;Charlotte;0;0;22;30;0;8;1
2021/12/25;Miami;0;0;13;15;16;4;0
2021/12/25;C&SE Area;5;0;66;70;36;15;4
2021/12/25;Oakland;0;0;10;11;4;2;1
2021/12/25;Boyle Heights;0;0;33;35;11;4;2
2021/12/25;Pico Union;1;1;31;24;12;0;1
2021/12/25;San Jose;6;0;10;8;9;4;1
2021/12/25;Long Beach;0;0;3;4;0;0;1
2021/12/25;Fresno;0;0;1;2;0;1;0
2021/12/25;CA Area;7;1;88;84;36;11;6
2021/12/25;Austin;0;0;8;11;10;1;0
2021/12/25;Houston;0;0;16;25;0;11;0
2021/12/25;San Antonio;0;0;0;0;0;0;0
2021/12/25;Texas Area;0;0;24;36;10;12;0
2021/12/25;Harlem-;7;0;1;1;52;0;0
2021/12/25;BAI- Newark;0;0;0;0;1;0;0
2021/12/25;Memphis;0;0;0;0;0;0;0
2021/12/25;Elevate Area;7;0;1;1;53;0;0
2021/12/25;Grand Total-;29;67;363;382;411;66;17
2021/12/24;Jackson Heights;0;50;24;28;122;6;2
2021/12/24;Gates Avenue;0;1;21;21;16;0;2
2021/12/24;Manhattan;0;2;27;33;32;2;9
2021/12/24;Bronx;5;3;19;32;51;6;1
2021/12/24;Jamaica-LIC;1;0;31;43;6;8;1
2021/12/24;Sunset Park;O;0;21;24;2;4;2
2021/12/24;New York Area;6;56;143;181;229;26;17
2021/12/24;Union City;9;2;12;15;26;4;0
2021/12/24;Newark-;3;1;6;11;21;5;1
2021/12/24;Chelsea-Boston;0;0;14;17;0;1;0
2021/12/24;Chicago;0;0;0;2;0;2;0
2021/12/24;Trenton/Camden;0;1;0;1;1;1;0
2021/12/24;Connecticut;0;0;0;8;0;8;0
2021/12/24;NE Area;12;4;32;54;48;21;1
2021/12/24;Omaha;3;0;17;17;11;1;0
2021/12/24;Indianapolis;1;0;13;13;9;1;1
2021/12/24;Charlotte;0;0;38;37;0;3;1
2021/12/24;Miami;0;0;17;15;17;3;0
2021/12/24;C&SE Area;4;0;85;82;37;8;2
2021/12/24;Oakland;0;1;24;34;3;2;3
2021/12/24;Boyle Heights;8;0;21;28;11;5;2
2021/12/24;Pico Union;0;0;28;34;13;5;1
2021/12/24;San Jose;0;0;16;25;10;3;1
2021/12/24;Long Beach;0;0;6;6;0;4;0
2021/12/24;Fresno;2;2;0;2;0;0;0
2021/12/24;CA Area;10;3;95;129;37;19;7
2021/12/24;Austin;5;0;14;14;10;1;1
2021/12/24;Houston;0;0;7;27;0;16;1
2021/12/24;San Antonio;0;0;0;5;0;5;0
2021/12/24;Texas Area;5;0;21;46;10;22;2
2021/12/24;Harlem-;20;1;1;0;52;0;0
2021/12/24;BAI- Newark;0;0;0;2;1;2;0
2021/12/24;Memphis;0;0;0;0;0;0;0
2021/12/24;Elevate Area;20;1;1;2;53;2;0
2021/12/24;Grand Total-;57;64;377;494;414;98;29
